country,ssp_range,year_range,p0.05,p0.50,p0.95
Antigua and Barbuda,SSP2-4.5,1986-2005,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2020-2039,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2040-2059,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2080-2099,0.00,0.00,0.00
Australia,SSP2-4.5,1986-2005,6.33,6.82,7.37
Australia,SSP2-4.5,2020-2039,8.36,9.78,11.25
Australia,SSP2-4.5,2040-2059,9.68,11.87,13.88
Australia,SSP2-4.5,2080-2099,11.29,14.65,18.01
Austria,SSP2-4.5,1986-2005,0.07,0.21,0.26
Austria,SSP2-4.5,2020-2039,0.50,0.68,1.43
Austria,SSP2-4.5,2040-2059,0.63,1.09,3.16
Austria,SSP2-4.5,2080-2099,0.74,1.92,4.13
Azerbaijan,SSP2-4.5,1986-2005,7.49,8.50,10.11
Azerbaijan,SSP2-4.5,2020-2039,12.70,15.63,19.58
Azerbaijan,SSP2-4.5,2040-2059,15.19,19.60,23.78
Azerbaijan,SSP2-4.5,2080-2099,17.55,26.37,34.80
Burundi,SSP2-4.5,1986-2005,0.00,0.00,0.00
Burundi,SSP2-4.5,2020-2039,0.00,0.00,0.06
Burundi,SSP2-4.5,2040-2059,0.00,0.05,0.22
Burundi,SSP2-4.5,2080-2099,0.01,0.10,0.49
Belgium,SSP2-4.5,1986-2005,0.01,0.05,0.16
Belgium,SSP2-4.5,2020-2039,0.09,0.28,1.14
Belgium,SSP2-4.5,2040-2059,0.16,0.74,1.55
Belgium,SSP2-4.5,2080-2099,0.44,1.10,2.43
Benin,SSP2-4.5,1986-2005,50.03,53.85,61.94
Benin,SSP2-4.5,2020-2039,50.20,71.53,81.41
Benin,SSP2-4.5,2040-2059,61.33,87.33,108.64
Benin,SSP2-4.5,2080-2099,70.48,109.61,129.22
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2080-2099,0.00,0.00,0.00
Burkina Faso,SSP2-4.5,1986-2005,142.98,148.57,156.78
Burkina Faso,SSP2-4.5,2020-2039,155.61,175.51,190.03
Burkina Faso,SSP2-4.5,2040-2059,171.85,190.43,217.98
Burkina Faso,SSP2-4.5,2080-2099,188.33,219.31,243.16
Bangladesh,SSP2-4.5,1986-2005,16.93,21.19,29.10
Bangladesh,SSP2-4.5,2020-2039,14.11,22.22,32.00
Bangladesh,SSP2-4.5,2040-2059,18.48,32.09,49.62
Bangladesh,SSP2-4.5,2080-2099,29.47,48.76,76.70
Bulgaria,SSP2-4.5,1986-2005,1.66,2.23,2.85
Bulgaria,SSP2-4.5,2020-2039,4.55,6.36,7.83
Bulgaria,SSP2-4.5,2040-2059,5.99,8.04,12.56
Bulgaria,SSP2-4.5,2080-2099,8.07,14.44,19.00
Bahrain,SSP2-4.5,1986-2005,18.30,23.79,26.40
Bahrain,SSP2-4.5,2020-2039,51.72,61.69,76.29
Bahrain,SSP2-4.5,2040-2059,64.67,79.36,100.90
Bahrain,SSP2-4.5,2080-2099,75.07,101.55,123.28
Bahamas,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bahamas,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bahamas,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bahamas,SSP2-4.5,2080-2099,0.00,0.00,0.01
Bosnia and Herzegovina,SSP2-4.5,1986-2005,0.56,1.53,1.82
Bosnia and Herzegovina,SSP2-4.5,2020-2039,2.73,4.31,6.45
Bosnia and Herzegovina,SSP2-4.5,2040-2059,3.53,5.64,10.62
Bosnia and Herzegovina,SSP2-4.5,2080-2099,4.31,9.49,17.46
Saint Barthélemy,SSP2-4.5,1986-2005,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2020-2039,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2040-2059,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2080-2099,0.00,0.00,0.00
Belarus,SSP2-4.5,1986-2005,0.02,0.16,0.41
Belarus,SSP2-4.5,2020-2039,0.16,0.66,1.21
Belarus,SSP2-4.5,2040-2059,0.31,1.18,2.18
Belarus,SSP2-4.5,2080-2099,0.70,2.28,4.51
Belize,SSP2-4.5,1986-2005,5.06,6.27,7.03
Belize,SSP2-4.5,2020-2039,9.48,12.29,15.96
Belize,SSP2-4.5,2040-2059,13.15,16.23,21.99
Belize,SSP2-4.5,2080-2099,15.33,24.64,40.45
Bermuda,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bermuda,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bermuda,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bermuda,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Bolivia, Plurinational State of",SSP2-4.5,1986-2005,5.26,7.14,7.95
"Bolivia, Plurinational State of",SSP2-4.5,2020-2039,11.74,17.64,21.17
"Bolivia, Plurinational State of",SSP2-4.5,2040-2059,17.63,22.94,32.92
"Bolivia, Plurinational State of",SSP2-4.5,2080-2099,22.39,31.95,40.92
Brazil,SSP2-4.5,1986-2005,10.20,12.35,13.66
Brazil,SSP2-4.5,2020-2039,22.99,25.52,31.44
Brazil,SSP2-4.5,2040-2059,29.27,34.73,45.96
Brazil,SSP2-4.5,2080-2099,33.88,50.17,69.31
Barbados,SSP2-4.5,1986-2005,0.00,0.00,0.00
Barbados,SSP2-4.5,2020-2039,0.00,0.00,0.00
Barbados,SSP2-4.5,2040-2059,0.00,0.00,0.00
Barbados,SSP2-4.5,2080-2099,0.00,0.00,0.00
Brunei Darussalam,SSP2-4.5,1986-2005,0.00,0.00,0.07
Brunei Darussalam,SSP2-4.5,2020-2039,0.00,0.04,0.62
Brunei Darussalam,SSP2-4.5,2040-2059,0.00,0.26,1.10
Brunei Darussalam,SSP2-4.5,2080-2099,0.04,0.88,3.58
Bhutan,SSP2-4.5,1986-2005,0.02,0.02,0.04
Bhutan,SSP2-4.5,2020-2039,0.02,0.04,0.08
Bhutan,SSP2-4.5,2040-2059,0.03,0.08,0.23
Bhutan,SSP2-4.5,2080-2099,0.09,0.15,0.53
Botswana,SSP2-4.5,1986-2005,20.24,24.81,28.02
Botswana,SSP2-4.5,2020-2039,37.74,48.23,57.79
Botswana,SSP2-4.5,2040-2059,43.03,59.64,70.18
Botswana,SSP2-4.5,2080-2099,60.71,77.52,101.78
Central African Republic,SSP2-4.5,1986-2005,43.63,46.51,51.56
Central African Republic,SSP2-4.5,2020-2039,41.50,57.25,64.26
Central African Republic,SSP2-4.5,2040-2059,45.82,68.52,87.47
Central African Republic,SSP2-4.5,2080-2099,54.85,86.70,110.91
Canada,SSP2-4.5,1986-2005,0.06,0.09,0.12
Canada,SSP2-4.5,2020-2039,0.15,0.33,0.65
Canada,SSP2-4.5,2040-2059,0.26,0.61,1.37
Canada,SSP2-4.5,2080-2099,0.38,1.00,2.10
Switzerland,SSP2-4.5,1986-2005,0.00,0.02,0.13
Switzerland,SSP2-4.5,2020-2039,0.08,0.15,0.54
Switzerland,SSP2-4.5,2040-2059,0.12,0.39,0.82
Switzerland,SSP2-4.5,2080-2099,0.19,0.87,1.40
Chile,SSP2-4.5,1986-2005,0.00,0.01,0.02
Chile,SSP2-4.5,2020-2039,0.01,0.02,0.06
Chile,SSP2-4.5,2040-2059,0.02,0.05,0.13
Chile,SSP2-4.5,2080-2099,0.03,0.08,0.25
China,SSP2-4.5,1986-2005,5.20,5.84,6.46
China,SSP2-4.5,2020-2039,7.07,10.43,12.73
China,SSP2-4.5,2040-2059,10.32,14.01,18.07
China,SSP2-4.5,2080-2099,12.90,20.87,27.98
Côte d'Ivoire,SSP2-4.5,1986-2005,20.32,22.66,31.15
Côte d'Ivoire,SSP2-4.5,2020-2039,20.80,40.49,45.50
Côte d'Ivoire,SSP2-4.5,2040-2059,29.96,53.20,59.83
Côte d'Ivoire,SSP2-4.5,2080-2099,42.35,75.24,93.30
Cameroon,SSP2-4.5,1986-2005,29.48,30.39,32.22
Cameroon,SSP2-4.5,2020-2039,30.28,36.09,39.77
Cameroon,SSP2-4.5,2040-2059,31.88,41.45,48.96
Cameroon,SSP2-4.5,2080-2099,38.10,52.14,59.64
"Congo, The Democratic Republic of the",SSP2-4.5,1986-2005,1.39,1.77,2.72
"Congo, The Democratic Republic of the",SSP2-4.5,2020-2039,2.61,4.35,6.27
"Congo, The Democratic Republic of the",SSP2-4.5,2040-2059,3.33,7.93,10.32
"Congo, The Democratic Republic of the",SSP2-4.5,2080-2099,5.09,15.93,28.30
Congo,SSP2-4.5,1986-2005,0.54,0.82,1.42
Congo,SSP2-4.5,2020-2039,0.63,1.90,3.00
Congo,SSP2-4.5,2040-2059,1.58,3.23,5.77
Congo,SSP2-4.5,2080-2099,3.01,6.82,14.34
Cook Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Colombia,SSP2-4.5,1986-2005,2.89,3.40,4.21
Colombia,SSP2-4.5,2020-2039,5.49,7.68,9.17
Colombia,SSP2-4.5,2040-2059,7.76,11.14,16.19
Colombia,SSP2-4.5,2080-2099,9.22,17.86,30.79
Comoros,SSP2-4.5,1986-2005,0.00,0.00,0.00
Comoros,SSP2-4.5,2020-2039,0.00,0.00,0.00
Comoros,SSP2-4.5,2040-2059,0.00,0.00,0.00
Comoros,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2080-2099,0.00,0.00,0.00
Costa Rica,SSP2-4.5,1986-2005,0.58,0.81,1.19
Costa Rica,SSP2-4.5,2020-2039,1.68,2.58,3.28
Costa Rica,SSP2-4.5,2040-2059,2.64,4.11,5.48
Costa Rica,SSP2-4.5,2080-2099,4.17,6.55,11.16
Cuba,SSP2-4.5,1986-2005,0.48,0.96,1.16
Cuba,SSP2-4.5,2020-2039,1.78,2.96,5.06
Cuba,SSP2-4.5,2040-2059,3.03,5.35,9.98
Cuba,SSP2-4.5,2080-2099,4.34,10.56,29.86
Curaçao,SSP2-4.5,1986-2005,0.00,0.00,0.00
Curaçao,SSP2-4.5,2020-2039,0.00,0.00,0.00
Curaçao,SSP2-4.5,2040-2059,0.00,0.00,0.00
Curaçao,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cyprus,SSP2-4.5,1986-2005,5.94,6.83,8.49
Cyprus,SSP2-4.5,2020-2039,11.90,13.32,16.27
Cyprus,SSP2-4.5,2040-2059,12.76,16.32,19.20
Cyprus,SSP2-4.5,2080-2099,15.51,20.08,26.39
Czechia,SSP2-4.5,1986-2005,0.05,0.15,0.20
Czechia,SSP2-4.5,2020-2039,0.33,0.58,1.95
Czechia,SSP2-4.5,2040-2059,0.51,1.14,3.21
Czechia,SSP2-4.5,2080-2099,0.74,1.72,4.22
Germany,SSP2-4.5,1986-2005,0.10,0.17,0.31
Germany,SSP2-4.5,2020-2039,0.37,0.61,2.30
Germany,SSP2-4.5,2040-2059,0.69,1.17,2.06
Germany,SSP2-4.5,2080-2099,0.82,1.86,3.88
Djibouti,SSP2-4.5,1986-2005,123.85,127.90,130.91
Djibouti,SSP2-4.5,2020-2039,134.11,144.15,155.04
Djibouti,SSP2-4.5,2040-2059,133.41,152.57,171.46
Djibouti,SSP2-4.5,2080-2099,148.10,166.93,189.09
Dominica,SSP2-4.5,1986-2005,0.00,0.00,0.00
Dominica,SSP2-4.5,2020-2039,0.00,0.00,0.00
Dominica,SSP2-4.5,2040-2059,0.00,0.00,0.00
Dominica,SSP2-4.5,2080-2099,0.00,0.00,0.00
Denmark,SSP2-4.5,1986-2005,0.00,0.00,0.00
Denmark,SSP2-4.5,2020-2039,0.00,0.00,0.01
Denmark,SSP2-4.5,2040-2059,0.00,0.00,0.09
Denmark,SSP2-4.5,2080-2099,0.00,0.01,0.06
Dominican Republic,SSP2-4.5,1986-2005,0.13,0.29,0.43
Dominican Republic,SSP2-4.5,2020-2039,0.74,1.05,1.83
Dominican Republic,SSP2-4.5,2040-2059,1.01,1.73,3.73
Dominican Republic,SSP2-4.5,2080-2099,1.50,3.83,11.05
Algeria,SSP2-4.5,1986-2005,44.51,46.93,50.31
Algeria,SSP2-4.5,2020-2039,59.38,62.83,67.14
Algeria,SSP2-4.5,2040-2059,63.41,70.52,76.87
Algeria,SSP2-4.5,2080-2099,67.97,80.44,90.65
Ecuador,SSP2-4.5,1986-2005,0.03,0.07,0.12
Ecuador,SSP2-4.5,2020-2039,0.12,0.24,0.52
Ecuador,SSP2-4.5,2040-2059,0.25,0.50,0.80
Ecuador,SSP2-4.5,2080-2099,0.29,1.16,2.36
Egypt,SSP2-4.5,1986-2005,59.68,62.80,65.40
Egypt,SSP2-4.5,2020-2039,82.90,88.62,94.61
Egypt,SSP2-4.5,2040-2059,89.46,97.34,106.99
Egypt,SSP2-4.5,2080-2099,96.87,109.87,121.75
Eritrea,SSP2-4.5,1986-2005,99.69,102.58,106.45
Eritrea,SSP2-4.5,2020-2039,107.41,123.26,133.27
Eritrea,SSP2-4.5,2040-2059,115.85,135.35,149.59
Eritrea,SSP2-4.5,2080-2099,137.71,151.54,169.83
Spain,SSP2-4.5,1986-2005,3.87,4.82,6.23
Spain,SSP2-4.5,2020-2039,7.40,10.29,12.82
Spain,SSP2-4.5,2040-2059,10.26,13.27,18.50
Spain,SSP2-4.5,2080-2099,12.35,19.44,27.31
Estonia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Estonia,SSP2-4.5,2020-2039,0.00,0.03,0.23
Estonia,SSP2-4.5,2040-2059,0.00,0.04,0.29
Estonia,SSP2-4.5,2080-2099,0.00,0.12,0.89
Ethiopia,SSP2-4.5,1986-2005,41.27,44.27,47.40
Ethiopia,SSP2-4.5,2020-2039,49.66,54.04,59.32
Ethiopia,SSP2-4.5,2040-2059,54.46,61.03,70.04
Ethiopia,SSP2-4.5,2080-2099,60.16,71.83,85.62
Finland,SSP2-4.5,1986-2005,0.00,0.00,0.00
Finland,SSP2-4.5,2020-2039,0.00,0.02,0.10
Finland,SSP2-4.5,2040-2059,0.00,0.03,0.21
Finland,SSP2-4.5,2080-2099,0.01,0.06,0.65
Fiji,SSP2-4.5,1986-2005,0.00,0.00,0.00
Fiji,SSP2-4.5,2020-2039,0.00,0.00,0.00
Fiji,SSP2-4.5,2040-2059,0.00,0.00,0.00
Fiji,SSP2-4.5,2080-2099,0.00,0.00,0.00
Falkland Islands (Malvinas),SSP2-4.5,1986-2005,0.00,0.00,0.00
Falkland Islands (Malvinas),SSP2-4.5,2020-2039,0.00,0.00,0.00
Falkland Islands (Malvinas),SSP2-4.5,2040-2059,0.00,0.00,0.00
Falkland Islands (Malvinas),SSP2-4.5,2080-2099,0.00,0.00,0.00
France,SSP2-4.5,1986-2005,0.54,0.68,1.48
France,SSP2-4.5,2020-2039,1.33,1.65,3.16
France,SSP2-4.5,2040-2059,1.86,2.85,3.90
France,SSP2-4.5,2080-2099,2.27,4.58,6.37
Faroe Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Faroe Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Faroe Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Faroe Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2080-2099,0.00,0.00,0.00
Gabon,SSP2-4.5,1986-2005,0.03,0.08,0.25
Gabon,SSP2-4.5,2020-2039,0.21,0.38,0.56
Gabon,SSP2-4.5,2040-2059,0.36,0.92,1.58
Gabon,SSP2-4.5,2080-2099,0.68,2.62,6.72
United Kingdom,SSP2-4.5,1986-2005,0.00,0.00,0.01
United Kingdom,SSP2-4.5,2020-2039,0.00,0.00,0.05
United Kingdom,SSP2-4.5,2040-2059,0.00,0.01,0.15
United Kingdom,SSP2-4.5,2080-2099,0.00,0.05,0.16
Georgia,SSP2-4.5,1986-2005,0.42,0.67,0.86
Georgia,SSP2-4.5,2020-2039,1.39,2.22,4.68
Georgia,SSP2-4.5,2040-2059,2.25,3.75,6.59
Georgia,SSP2-4.5,2080-2099,2.88,6.45,16.27
Guernsey,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guernsey,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guernsey,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guernsey,SSP2-4.5,2080-2099,0.00,0.00,0.00
Ghana,SSP2-4.5,1986-2005,37.96,41.04,48.02
Ghana,SSP2-4.5,2020-2039,39.04,56.21,61.57
Ghana,SSP2-4.5,2040-2059,46.49,68.05,79.51
Ghana,SSP2-4.5,2080-2099,56.43,86.16,102.63
Gibraltar,SSP2-4.5,1986-2005,0.00,0.00,0.04
Gibraltar,SSP2-4.5,2020-2039,0.00,0.05,0.12
Gibraltar,SSP2-4.5,2040-2059,0.00,0.10,0.34
Gibraltar,SSP2-4.5,2080-2099,0.00,0.14,0.52
Guinea,SSP2-4.5,1986-2005,36.91,39.23,46.57
Guinea,SSP2-4.5,2020-2039,43.08,57.45,64.20
Guinea,SSP2-4.5,2040-2059,47.83,69.91,78.67
Guinea,SSP2-4.5,2080-2099,59.83,87.36,109.14
Guadeloupe,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2080-2099,0.00,0.00,0.00
Gambia,SSP2-4.5,1986-2005,104.31,108.29,113.32
Gambia,SSP2-4.5,2020-2039,122.71,130.80,136.83
Gambia,SSP2-4.5,2040-2059,134.80,143.39,155.72
Gambia,SSP2-4.5,2080-2099,146.66,163.99,183.00
Guinea-Bissau,SSP2-4.5,1986-2005,67.56,70.92,72.53
Guinea-Bissau,SSP2-4.5,2020-2039,81.52,89.56,100.28
Guinea-Bissau,SSP2-4.5,2040-2059,91.98,104.16,119.17
Guinea-Bissau,SSP2-4.5,2080-2099,105.22,120.87,151.28
Equatorial Guinea,SSP2-4.5,1986-2005,0.00,0.00,0.02
Equatorial Guinea,SSP2-4.5,2020-2039,0.00,0.02,0.06
Equatorial Guinea,SSP2-4.5,2040-2059,0.00,0.06,0.13
Equatorial Guinea,SSP2-4.5,2080-2099,0.00,0.17,0.71
Greece,SSP2-4.5,1986-2005,1.39,1.95,2.27
Greece,SSP2-4.5,2020-2039,4.44,5.40,7.99
Greece,SSP2-4.5,2040-2059,5.53,7.58,13.47
Greece,SSP2-4.5,2080-2099,8.07,12.75,22.45
Grenada,SSP2-4.5,1986-2005,0.00,0.00,0.00
Grenada,SSP2-4.5,2020-2039,0.00,0.00,0.00
Grenada,SSP2-4.5,2040-2059,0.00,0.00,0.00
Grenada,SSP2-4.5,2080-2099,0.00,0.00,0.00
Greenland,SSP2-4.5,1986-2005,0.00,0.00,0.00
Greenland,SSP2-4.5,2020-2039,0.00,0.00,0.00
Greenland,SSP2-4.5,2040-2059,0.00,0.00,0.00
Greenland,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guatemala,SSP2-4.5,1986-2005,3.87,4.27,4.73
Guatemala,SSP2-4.5,2020-2039,5.61,6.99,8.11
Guatemala,SSP2-4.5,2040-2059,6.50,9.09,11.30
Guatemala,SSP2-4.5,2080-2099,8.01,14.57,22.19
French Guiana,SSP2-4.5,1986-2005,1.32,3.76,5.11
French Guiana,SSP2-4.5,2020-2039,7.12,11.47,16.92
French Guiana,SSP2-4.5,2040-2059,9.30,15.96,22.83
French Guiana,SSP2-4.5,2080-2099,13.62,24.71,49.05
Guam,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guam,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guam,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guam,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guyana,SSP2-4.5,1986-2005,0.98,1.61,2.35
Guyana,SSP2-4.5,2020-2039,3.50,4.80,12.45
Guyana,SSP2-4.5,2040-2059,4.49,7.95,26.13
Guyana,SSP2-4.5,2080-2099,6.61,15.35,29.35
Hong Kong,SSP2-4.5,1986-2005,0.02,0.06,0.15
Hong Kong,SSP2-4.5,2020-2039,0.10,0.25,0.61
Hong Kong,SSP2-4.5,2040-2059,0.24,0.73,1.46
Hong Kong,SSP2-4.5,2080-2099,0.60,1.89,4.07
Heard Island and McDonald Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Heard Island and McDonald Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Heard Island and McDonald Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Heard Island and McDonald Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Honduras,SSP2-4.5,1986-2005,3.05,3.70,4.49
Honduras,SSP2-4.5,2020-2039,5.70,7.48,9.75
Honduras,SSP2-4.5,2040-2059,7.99,11.18,16.05
Honduras,SSP2-4.5,2080-2099,11.64,19.12,29.96
Croatia,SSP2-4.5,1986-2005,0.61,1.66,2.01
Croatia,SSP2-4.5,2020-2039,2.86,4.57,7.38
Croatia,SSP2-4.5,2040-2059,4.26,6.15,12.38
Croatia,SSP2-4.5,2080-2099,4.50,9.91,18.41
Haiti,SSP2-4.5,1986-2005,0.03,0.08,0.16
Haiti,SSP2-4.5,2020-2039,0.24,0.42,0.89
Haiti,SSP2-4.5,2040-2059,0.38,0.91,2.34
Haiti,SSP2-4.5,2080-2099,0.66,2.28,9.35
Hungary,SSP2-4.5,1986-2005,0.86,1.89,2.28
Hungary,SSP2-4.5,2020-2039,3.14,5.55,8.20
Hungary,SSP2-4.5,2040-2059,4.61,7.78,16.47
Hungary,SSP2-4.5,2080-2099,5.84,12.38,20.88
Indonesia,SSP2-4.5,1986-2005,0.37,0.53,0.79
Indonesia,SSP2-4.5,2020-2039,1.01,1.42,2.58
Indonesia,SSP2-4.5,2040-2059,1.34,2.51,4.46
Indonesia,SSP2-4.5,2080-2099,1.78,4.42,10.52
Isle of Man,SSP2-4.5,1986-2005,0.00,0.00,0.00
Isle of Man,SSP2-4.5,2020-2039,0.00,0.00,0.00
Isle of Man,SSP2-4.5,2040-2059,0.00,0.00,0.00
Isle of Man,SSP2-4.5,2080-2099,0.00,0.00,0.00
India,SSP2-4.5,1986-2005,42.70,45.76,49.98
India,SSP2-4.5,2020-2039,46.71,50.50,55.51
India,SSP2-4.5,2040-2059,50.33,55.29,64.99
India,SSP2-4.5,2080-2099,56.07,66.28,75.74
British Indian Ocean Territory,SSP2-4.5,1986-2005,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2020-2039,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2040-2059,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2080-2099,0.00,0.00,0.00
Ireland,SSP2-4.5,1986-2005,0.00,0.00,0.00
Ireland,SSP2-4.5,2020-2039,0.00,0.00,0.03
Ireland,SSP2-4.5,2040-2059,0.00,0.00,0.04
Ireland,SSP2-4.5,2080-2099,0.00,0.00,0.12
"Iran, Islamic Republic of",SSP2-4.5,1986-2005,43.43,45.00,47.29
"Iran, Islamic Republic of",SSP2-4.5,2020-2039,55.67,59.54,65.44
"Iran, Islamic Republic of",SSP2-4.5,2040-2059,63.61,67.86,74.95
