country,ssp_range,year_range,p0.05,p0.50,p0.95
Antigua and Barbuda,SSP2-4.5,1986-2005,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2020-2039,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2040-2059,0.00,0.00,0.00
Antigua and Barbuda,SSP2-4.5,2080-2099,0.00,0.00,0.00
Australia,SSP2-4.5,1986-2005,2.89,3.22,3.99
Australia,SSP2-4.5,2020-2039,1.78,2.56,3.00
Australia,SSP2-4.5,2040-2059,0.90,2.02,2.58
Australia,SSP2-4.5,2080-2099,0.57,1.33,1.96
Austria,SSP2-4.5,1986-2005,119.72,127.83,136.66
Austria,SSP2-4.5,2020-2039,89.26,106.68,115.82
Austria,SSP2-4.5,2040-2059,77.77,101.81,110.48
Austria,SSP2-4.5,2080-2099,72.18,93.79,106.78
Azerbaijan,SSP2-4.5,1986-2005,79.39,84.77,90.64
Azerbaijan,SSP2-4.5,2020-2039,59.90,69.45,77.82
Azerbaijan,SSP2-4.5,2040-2059,59.85,68.12,74.05
Azerbaijan,SSP2-4.5,2080-2099,40.53,59.77,68.94
Burundi,SSP2-4.5,1986-2005,0.00,0.00,0.00
Burundi,SSP2-4.5,2020-2039,0.00,0.00,0.00
Burundi,SSP2-4.5,2040-2059,0.00,0.00,0.00
Burundi,SSP2-4.5,2080-2099,0.00,0.00,0.00
Belgium,SSP2-4.5,1986-2005,43.99,48.86,59.15
Belgium,SSP2-4.5,2020-2039,24.64,37.24,46.44
Belgium,SSP2-4.5,2040-2059,21.89,34.71,42.76
Belgium,SSP2-4.5,2080-2099,19.42,27.86,40.35
Benin,SSP2-4.5,1986-2005,0.00,0.00,0.00
Benin,SSP2-4.5,2020-2039,0.00,0.00,0.00
Benin,SSP2-4.5,2040-2059,0.00,0.00,0.00
Benin,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2080-2099,0.00,0.00,0.00
Burkina Faso,SSP2-4.5,1986-2005,0.00,0.00,0.00
Burkina Faso,SSP2-4.5,2020-2039,0.00,0.00,0.00
Burkina Faso,SSP2-4.5,2040-2059,0.00,0.00,0.00
Burkina Faso,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bangladesh,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bangladesh,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bangladesh,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bangladesh,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bulgaria,SSP2-4.5,1986-2005,77.72,86.82,92.69
Bulgaria,SSP2-4.5,2020-2039,58.67,65.90,78.51
Bulgaria,SSP2-4.5,2040-2059,49.47,62.87,71.42
Bulgaria,SSP2-4.5,2080-2099,40.48,55.83,71.20
Bahrain,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bahrain,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bahrain,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bahrain,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bahamas,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bahamas,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bahamas,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bahamas,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bosnia and Herzegovina,SSP2-4.5,1986-2005,84.16,92.00,96.70
Bosnia and Herzegovina,SSP2-4.5,2020-2039,60.97,71.32,79.96
Bosnia and Herzegovina,SSP2-4.5,2040-2059,50.22,66.20,75.06
Bosnia and Herzegovina,SSP2-4.5,2080-2099,48.54,59.67,72.20
Saint Barthélemy,SSP2-4.5,1986-2005,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2020-2039,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2040-2059,0.00,0.00,0.00
Saint Barthélemy,SSP2-4.5,2080-2099,0.00,0.00,0.00
Belarus,SSP2-4.5,1986-2005,124.50,134.08,148.01
Belarus,SSP2-4.5,2020-2039,96.73,113.03,124.15
Belarus,SSP2-4.5,2040-2059,80.42,102.74,122.78
Belarus,SSP2-4.5,2080-2099,72.33,92.93,116.94
Belize,SSP2-4.5,1986-2005,0.00,0.00,0.00
Belize,SSP2-4.5,2020-2039,0.00,0.00,0.00
Belize,SSP2-4.5,2040-2059,0.00,0.00,0.00
Belize,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bermuda,SSP2-4.5,1986-2005,0.00,0.00,0.00
Bermuda,SSP2-4.5,2020-2039,0.00,0.00,0.00
Bermuda,SSP2-4.5,2040-2059,0.00,0.00,0.00
Bermuda,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Bolivia, Plurinational State of",SSP2-4.5,1986-2005,26.58,29.90,32.00
"Bolivia, Plurinational State of",SSP2-4.5,2020-2039,19.16,21.34,24.16
"Bolivia, Plurinational State of",SSP2-4.5,2040-2059,13.96,17.62,20.61
"Bolivia, Plurinational State of",SSP2-4.5,2080-2099,8.11,13.20,18.34
Brazil,SSP2-4.5,1986-2005,0.08,0.12,0.19
Brazil,SSP2-4.5,2020-2039,0.05,0.08,0.14
Brazil,SSP2-4.5,2040-2059,0.03,0.07,0.13
Brazil,SSP2-4.5,2080-2099,0.02,0.04,0.11
Barbados,SSP2-4.5,1986-2005,0.00,0.00,0.00
Barbados,SSP2-4.5,2020-2039,0.00,0.00,0.00
Barbados,SSP2-4.5,2040-2059,0.00,0.00,0.00
Barbados,SSP2-4.5,2080-2099,0.00,0.00,0.00
Brunei Darussalam,SSP2-4.5,1986-2005,0.00,0.00,0.00
Brunei Darussalam,SSP2-4.5,2020-2039,0.00,0.00,0.00
Brunei Darussalam,SSP2-4.5,2040-2059,0.00,0.00,0.00
Brunei Darussalam,SSP2-4.5,2080-2099,0.00,0.00,0.00
Bhutan,SSP2-4.5,1986-2005,69.27,72.72,75.27
Bhutan,SSP2-4.5,2020-2039,60.90,63.89,66.12
Bhutan,SSP2-4.5,2040-2059,55.06,59.72,62.01
Bhutan,SSP2-4.5,2080-2099,47.81,54.15,59.56
Botswana,SSP2-4.5,1986-2005,1.17,1.64,2.38
Botswana,SSP2-4.5,2020-2039,0.68,0.97,1.21
Botswana,SSP2-4.5,2040-2059,0.39,0.58,0.92
Botswana,SSP2-4.5,2080-2099,0.07,0.37,0.59
Central African Republic,SSP2-4.5,1986-2005,0.00,0.00,0.00
Central African Republic,SSP2-4.5,2020-2039,0.00,0.00,0.00
Central African Republic,SSP2-4.5,2040-2059,0.00,0.00,0.00
Central African Republic,SSP2-4.5,2080-2099,0.00,0.00,0.00
Canada,SSP2-4.5,1986-2005,167.08,169.70,172.23
Canada,SSP2-4.5,2020-2039,148.39,153.22,157.79
Canada,SSP2-4.5,2040-2059,136.23,145.51,153.36
Canada,SSP2-4.5,2080-2099,120.15,136.61,150.76
Switzerland,SSP2-4.5,1986-2005,105.76,113.12,123.59
Switzerland,SSP2-4.5,2020-2039,77.23,93.78,102.97
Switzerland,SSP2-4.5,2040-2059,69.85,88.29,98.26
Switzerland,SSP2-4.5,2080-2099,61.29,80.37,94.21
Chile,SSP2-4.5,1986-2005,38.84,41.09,42.53
Chile,SSP2-4.5,2020-2039,33.70,35.11,37.29
Chile,SSP2-4.5,2040-2059,28.89,32.00,34.25
Chile,SSP2-4.5,2080-2099,22.46,28.77,31.94
China,SSP2-4.5,1986-2005,77.44,80.08,82.44
China,SSP2-4.5,2020-2039,69.48,72.40,74.46
China,SSP2-4.5,2040-2059,63.61,68.50,72.11
China,SSP2-4.5,2080-2099,56.75,63.57,69.10
Côte d'Ivoire,SSP2-4.5,1986-2005,0.00,0.00,0.00
Côte d'Ivoire,SSP2-4.5,2020-2039,0.00,0.00,0.00
Côte d'Ivoire,SSP2-4.5,2040-2059,0.00,0.00,0.00
Côte d'Ivoire,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cameroon,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cameroon,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cameroon,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cameroon,SSP2-4.5,2080-2099,0.00,0.00,0.00
"Congo, The Democratic Republic of the",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Congo, The Democratic Republic of the",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Congo, The Democratic Republic of the",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Congo, The Democratic Republic of the",SSP2-4.5,2080-2099,0.00,0.00,0.00
Congo,SSP2-4.5,1986-2005,0.00,0.00,0.00
Congo,SSP2-4.5,2020-2039,0.00,0.00,0.00
Congo,SSP2-4.5,2040-2059,0.00,0.00,0.00
Congo,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cook Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cook Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Colombia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Colombia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Colombia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Colombia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Comoros,SSP2-4.5,1986-2005,0.00,0.00,0.00
Comoros,SSP2-4.5,2020-2039,0.00,0.00,0.00
Comoros,SSP2-4.5,2040-2059,0.00,0.00,0.00
Comoros,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cabo Verde,SSP2-4.5,2080-2099,0.00,0.00,0.00
Costa Rica,SSP2-4.5,1986-2005,0.00,0.00,0.00
Costa Rica,SSP2-4.5,2020-2039,0.00,0.00,0.00
Costa Rica,SSP2-4.5,2040-2059,0.00,0.00,0.00
Costa Rica,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cuba,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cuba,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cuba,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cuba,SSP2-4.5,2080-2099,0.00,0.00,0.00
Curaçao,SSP2-4.5,1986-2005,0.00,0.00,0.00
Curaçao,SSP2-4.5,2020-2039,0.00,0.00,0.00
Curaçao,SSP2-4.5,2040-2059,0.00,0.00,0.00
Curaçao,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Cayman Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Cyprus,SSP2-4.5,1986-2005,0.01,0.09,0.32
Cyprus,SSP2-4.5,2020-2039,0.00,0.03,0.07
Cyprus,SSP2-4.5,2040-2059,0.00,0.01,0.05
Cyprus,SSP2-4.5,2080-2099,0.00,0.00,0.05
Czechia,SSP2-4.5,1986-2005,98.84,106.09,120.46
Czechia,SSP2-4.5,2020-2039,66.07,88.40,96.59
Czechia,SSP2-4.5,2040-2059,51.96,79.79,93.34
Czechia,SSP2-4.5,2080-2099,49.04,71.71,90.66
Germany,SSP2-4.5,1986-2005,69.37,75.14,88.97
Germany,SSP2-4.5,2020-2039,41.16,57.77,67.26
Germany,SSP2-4.5,2040-2059,33.14,53.92,67.37
Germany,SSP2-4.5,2080-2099,29.28,45.65,62.80
Djibouti,SSP2-4.5,1986-2005,0.00,0.00,0.00
Djibouti,SSP2-4.5,2020-2039,0.00,0.00,0.00
Djibouti,SSP2-4.5,2040-2059,0.00,0.00,0.00
Djibouti,SSP2-4.5,2080-2099,0.00,0.00,0.00
Dominica,SSP2-4.5,1986-2005,0.00,0.00,0.00
Dominica,SSP2-4.5,2020-2039,0.00,0.00,0.00
Dominica,SSP2-4.5,2040-2059,0.00,0.00,0.00
Dominica,SSP2-4.5,2080-2099,0.00,0.00,0.00
Denmark,SSP2-4.5,1986-2005,54.66,65.73,77.99
Denmark,SSP2-4.5,2020-2039,34.96,49.91,57.40
Denmark,SSP2-4.5,2040-2059,24.74,42.62,53.19
Denmark,SSP2-4.5,2080-2099,20.86,35.46,50.09
Dominican Republic,SSP2-4.5,1986-2005,0.00,0.00,0.00
Dominican Republic,SSP2-4.5,2020-2039,0.00,0.00,0.00
Dominican Republic,SSP2-4.5,2040-2059,0.00,0.00,0.00
Dominican Republic,SSP2-4.5,2080-2099,0.00,0.00,0.00
Algeria,SSP2-4.5,1986-2005,7.28,8.32,9.17
Algeria,SSP2-4.5,2020-2039,3.09,4.21,6.28
Algeria,SSP2-4.5,2040-2059,2.30,3.55,5.18
Algeria,SSP2-4.5,2080-2099,1.14,2.34,4.17
Ecuador,SSP2-4.5,1986-2005,0.01,0.03,0.16
Ecuador,SSP2-4.5,2020-2039,0.00,0.01,0.10
Ecuador,SSP2-4.5,2040-2059,0.00,0.00,0.05
Ecuador,SSP2-4.5,2080-2099,0.00,0.00,0.04
Egypt,SSP2-4.5,1986-2005,0.01,0.03,0.06
Egypt,SSP2-4.5,2020-2039,0.00,0.01,0.02
Egypt,SSP2-4.5,2040-2059,0.00,0.01,0.03
Egypt,SSP2-4.5,2080-2099,0.00,0.00,0.02
Eritrea,SSP2-4.5,1986-2005,0.00,0.00,0.00
Eritrea,SSP2-4.5,2020-2039,0.00,0.00,0.00
Eritrea,SSP2-4.5,2040-2059,0.00,0.00,0.00
Eritrea,SSP2-4.5,2080-2099,0.00,0.00,0.00
Spain,SSP2-4.5,1986-2005,17.31,18.85,21.36
Spain,SSP2-4.5,2020-2039,10.65,14.12,17.09
Spain,SSP2-4.5,2040-2059,9.74,12.23,15.64
Spain,SSP2-4.5,2080-2099,6.30,9.67,13.02
Estonia,SSP2-4.5,1986-2005,122.91,133.75,150.14
Estonia,SSP2-4.5,2020-2039,92.01,108.25,121.82
Estonia,SSP2-4.5,2040-2059,73.41,95.99,115.36
Estonia,SSP2-4.5,2080-2099,61.87,86.71,110.63
Ethiopia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Ethiopia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Ethiopia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Ethiopia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Finland,SSP2-4.5,1986-2005,161.45,169.47,185.97
Finland,SSP2-4.5,2020-2039,128.74,144.77,160.84
Finland,SSP2-4.5,2040-2059,102.73,131.07,150.13
Finland,SSP2-4.5,2080-2099,94.09,120.27,147.88
Fiji,SSP2-4.5,1986-2005,0.00,0.00,0.00
Fiji,SSP2-4.5,2020-2039,0.00,0.00,0.00
Fiji,SSP2-4.5,2040-2059,0.00,0.00,0.00
Fiji,SSP2-4.5,2080-2099,0.00,0.00,0.00
Falkland Islands (Malvinas),SSP2-4.5,1986-2005,11.40,13.91,16.15
Falkland Islands (Malvinas),SSP2-4.5,2020-2039,6.11,10.41,11.95
Falkland Islands (Malvinas),SSP2-4.5,2040-2059,4.36,7.85,10.92
Falkland Islands (Malvinas),SSP2-4.5,2080-2099,2.31,5.57,8.30
France,SSP2-4.5,1986-2005,41.95,44.88,52.34
France,SSP2-4.5,2020-2039,24.86,35.03,40.97
France,SSP2-4.5,2040-2059,22.17,31.83,37.71
France,SSP2-4.5,2080-2099,18.60,26.12,33.75
Faroe Islands,SSP2-4.5,1986-2005,12.64,23.33,40.03
Faroe Islands,SSP2-4.5,2020-2039,3.23,7.63,28.89
Faroe Islands,SSP2-4.5,2040-2059,1.48,9.94,19.16
Faroe Islands,SSP2-4.5,2080-2099,0.60,3.84,24.05
"Micronesia, Federated States of",SSP2-4.5,1986-2005,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2020-2039,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2040-2059,0.00,0.00,0.00
"Micronesia, Federated States of",SSP2-4.5,2080-2099,0.00,0.00,0.00
Gabon,SSP2-4.5,1986-2005,0.00,0.00,0.00
Gabon,SSP2-4.5,2020-2039,0.00,0.00,0.00
Gabon,SSP2-4.5,2040-2059,0.00,0.00,0.00
Gabon,SSP2-4.5,2080-2099,0.00,0.00,0.00
United Kingdom,SSP2-4.5,1986-2005,19.12,24.63,33.33
United Kingdom,SSP2-4.5,2020-2039,10.65,16.90,23.43
United Kingdom,SSP2-4.5,2040-2059,9.26,14.81,21.29
United Kingdom,SSP2-4.5,2080-2099,7.50,11.78,22.14
Georgia,SSP2-4.5,1986-2005,106.12,110.90,117.54
Georgia,SSP2-4.5,2020-2039,85.03,95.91,105.29
Georgia,SSP2-4.5,2040-2059,84.88,91.31,100.74
Georgia,SSP2-4.5,2080-2099,61.28,81.11,93.24
Guernsey,SSP2-4.5,1986-2005,0.00,0.10,0.68
Guernsey,SSP2-4.5,2020-2039,0.00,0.05,0.77
Guernsey,SSP2-4.5,2040-2059,0.00,0.02,0.40
Guernsey,SSP2-4.5,2080-2099,0.00,0.00,0.46
Ghana,SSP2-4.5,1986-2005,0.00,0.00,0.00
Ghana,SSP2-4.5,2020-2039,0.00,0.00,0.00
Ghana,SSP2-4.5,2040-2059,0.00,0.00,0.00
Ghana,SSP2-4.5,2080-2099,0.00,0.00,0.00
Gibraltar,SSP2-4.5,1986-2005,0.00,0.00,0.04
Gibraltar,SSP2-4.5,2020-2039,0.00,0.00,0.00
Gibraltar,SSP2-4.5,2040-2059,0.00,0.00,0.00
Gibraltar,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guinea,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guinea,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guinea,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guinea,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guadeloupe,SSP2-4.5,2080-2099,0.00,0.00,0.00
Gambia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Gambia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Gambia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Gambia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guinea-Bissau,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guinea-Bissau,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guinea-Bissau,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guinea-Bissau,SSP2-4.5,2080-2099,0.00,0.00,0.00
Equatorial Guinea,SSP2-4.5,1986-2005,0.00,0.00,0.00
Equatorial Guinea,SSP2-4.5,2020-2039,0.00,0.00,0.00
Equatorial Guinea,SSP2-4.5,2040-2059,0.00,0.00,0.00
Equatorial Guinea,SSP2-4.5,2080-2099,0.00,0.00,0.00
Greece,SSP2-4.5,1986-2005,16.08,19.30,22.60
Greece,SSP2-4.5,2020-2039,11.69,12.66,16.35
Greece,SSP2-4.5,2040-2059,9.77,11.70,14.09
Greece,SSP2-4.5,2080-2099,6.99,9.91,13.42
Grenada,SSP2-4.5,1986-2005,0.00,0.00,0.00
Grenada,SSP2-4.5,2020-2039,0.00,0.00,0.00
Grenada,SSP2-4.5,2040-2059,0.00,0.00,0.00
Grenada,SSP2-4.5,2080-2099,0.00,0.00,0.00
Greenland,SSP2-4.5,1986-2005,261.48,267.60,289.98
Greenland,SSP2-4.5,2020-2039,240.99,256.02,264.92
Greenland,SSP2-4.5,2040-2059,238.47,250.75,262.91
Greenland,SSP2-4.5,2080-2099,222.04,241.12,264.54
Guatemala,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guatemala,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guatemala,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guatemala,SSP2-4.5,2080-2099,0.00,0.00,0.00
French Guiana,SSP2-4.5,1986-2005,0.00,0.00,0.00
French Guiana,SSP2-4.5,2020-2039,0.00,0.00,0.00
French Guiana,SSP2-4.5,2040-2059,0.00,0.00,0.00
French Guiana,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guam,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guam,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guam,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guam,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guyana,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guyana,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guyana,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guyana,SSP2-4.5,2080-2099,0.00,0.00,0.00
Hong Kong,SSP2-4.5,1986-2005,0.00,0.00,0.00
Hong Kong,SSP2-4.5,2020-2039,0.00,0.00,0.00
Hong Kong,SSP2-4.5,2040-2059,0.00,0.00,0.00
Hong Kong,SSP2-4.5,2080-2099,0.00,0.00,0.00
Heard Island and McDonald Islands,SSP2-4.5,1986-2005,104.48,115.70,123.88
Heard Island and McDonald Islands,SSP2-4.5,2020-2039,71.53,86.80,109.35
Heard Island and McDonald Islands,SSP2-4.5,2040-2059,51.47,79.56,95.31
Heard Island and McDonald Islands,SSP2-4.5,2080-2099,33.54,56.06,67.34
Honduras,SSP2-4.5,1986-2005,0.00,0.00,0.00
Honduras,SSP2-4.5,2020-2039,0.00,0.00,0.00
Honduras,SSP2-4.5,2040-2059,0.00,0.00,0.00
Honduras,SSP2-4.5,2080-2099,0.00,0.00,0.00
Croatia,SSP2-4.5,1986-2005,53.14,59.11,63.09
Croatia,SSP2-4.5,2020-2039,30.36,42.80,50.64
Croatia,SSP2-4.5,2040-2059,24.57,38.07,45.81
Croatia,SSP2-4.5,2080-2099,22.20,33.10,44.38
Haiti,SSP2-4.5,1986-2005,0.00,0.00,0.00
Haiti,SSP2-4.5,2020-2039,0.00,0.00,0.00
Haiti,SSP2-4.5,2040-2059,0.00,0.00,0.00
Haiti,SSP2-4.5,2080-2099,0.00,0.00,0.00
Hungary,SSP2-4.5,1986-2005,81.35,88.21,96.55
Hungary,SSP2-4.5,2020-2039,49.39,68.37,77.61
Hungary,SSP2-4.5,2040-2059,37.70,63.15,73.92
Hungary,SSP2-4.5,2080-2099,35.82,54.55,70.27
Indonesia,SSP2-4.5,1986-2005,0.00,0.00,0.00
Indonesia,SSP2-4.5,2020-2039,0.00,0.00,0.00
Indonesia,SSP2-4.5,2040-2059,0.00,0.00,0.00
Indonesia,SSP2-4.5,2080-2099,0.00,0.00,0.00
Isle of Man,SSP2-4.5,1986-2005,0.00,0.39,1.82
Isle of Man,SSP2-4.5,2020-2039,0.00,0.05,1.18
Isle of Man,SSP2-4.5,2040-2059,0.00,0.01,0.55
Isle of Man,SSP2-4.5,2080-2099,0.00,0.00,0.21
India,SSP2-4.5,1986-2005,9.34,9.67,10.19
India,SSP2-4.5,2020-2039,7.84,8.22,8.36
India,SSP2-4.5,2040-2059,7.10,7.41,7.77
India,SSP2-4.5,2080-2099,5.95,6.56,7.30
British Indian Ocean Territory,SSP2-4.5,1986-2005,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2020-2039,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2040-2059,0.00,0.00,0.00
British Indian Ocean Territory,SSP2-4.5,2080-2099,0.00,0.00,0.00
Ireland,SSP2-4.5,1986-2005,13.50,17.37,26.96
Ireland,SSP2-4.5,2020-2039,8.27,11.22,18.93
Ireland,SSP2-4.5,2040-2059,6.32,10.69,16.39
Ireland,SSP2-4.5,2080-2099,4.87,8.47,17.71
"Iran, Islamic Republic of",SSP2-4.5,1986-2005,64.64,68.05,70.80
"Iran, Islamic Republic of",SSP2-4.5,2020-2039,43.77,56.77,60.97
"Iran, Islamic Republic of",SSP2-4.5,2040-2059,40.99,52.15,57.24
